n = 59
3 48 -0.230769230769231;
3 50 0.857142857142857;
4 5 0.984536082474227;
4 6 0.975728155339806;
4 7 0.98159509202454;
4 8 0.985981308411215;
4 9 0.7981220657277;
4 10 0.758454106280193;
4 11 0.816425120772947;
4 29 0.974747474747475;
4 30 0.980582524271845;
4 31 0.913385826771654;
4 32 0.844339622641509;
4 36 0.985781990521327;
4 37 0.985915492957746;
4 38 0.980769230769231;
4 39 0.970588235294118;
4 40 0.950738916256158;
4 41 0.97029702970297;
4 42 0.931506849315068;
4 44 0.975845410628019;
4 45 0.964824120603015;
4 46 0.984848484848485;
4 47 0.985645933014354;
4 50 0.968553459119497;
4 51 1;
4 54 1;
4 57 1;
5 6 0.98469387755102;
5 7 0.993670886075949;
5 8 0.995024875621891;
5 9 0.785;
5 10 0.731958762886598;
5 11 0.783505154639175;
5 29 0.983606557377049;
5 30 0.989637305699482;
5 31 0.865546218487395;
5 32 0.85929648241206;
5 36 0.99492385786802;
5 37 0.995;
5 38 0.98974358974359;
5 39 0.981366459627329;
5 40 0.958115183246073;
5 41 0.978835978835979;
5 42 0.924242424242424;
5 44 0.984455958549223;
5 45 0.973404255319149;
5 46 0.994594594594595;
5 47 0.994949494949495;
5 50 0.979166666666667;
5 51 1;
5 54 1;
5 57 1;
6 7 0.982035928143713;
6 8 0.986301369863014;
6 9 0.81651376146789;
6 10 0.764150943396226;
6 11 0.80188679245283;
6 29 0.975247524752475;
6 30 0.981132075471698;
6 31 0.8828125;
6 32 0.852534562211982;
6 36 0.986046511627907;
6 37 0.986238532110092;
6 38 0.981308411214953;
6 39 0.982248520710059;
6 40 0.950980392156863;
6 41 0.971014492753623;
6 42 0.946666666666667;
6 44 0.976303317535545;
6 45 0.965686274509804;
6 46 0.99009900990099;
6 47 0.986046511627907;
6 50 0.969135802469136;
6 51 0.987096774193548;
6 54 0.975903614457831;
6 57 0.984251968503937;
7 8 0.994219653179191;
7 9 0.755813953488372;
7 10 0.694610778443114;
7 11 0.795180722891566;
7 29 0.982142857142857;
7 30 0.98780487804878;
7 31 0.888888888888889;
7 32 0.819767441860465;
7 36 0.994082840236686;
7 37 0.994219653179191;
7 38 0.988095238095238;
7 39 0.977611940298508;
7 40 0.949685534591195;
7 41 0.976470588235294;
7 42 0.891304347826087;
7 44 0.981818181818182;
7 45 0.968152866242038;
7 46 0.994047619047619;
7 47 0.994047619047619;
7 50 0.97972972972973;
7 51 1;
7 54 1;
7 57 1;
8 9 0.809734513274336;
8 10 0.754545454545455;
8 11 0.8;
8 29 0.985645933014354;
8 30 0.990825688073395;
8 31 0.880597014925373;
8 32 0.853333333333333;
8 36 0.995515695067265;
8 37 0.995575221238938;
8 38 0.990950226244344;
8 39 0.983050847457627;
8 40 0.962085308056872;
8 41 0.981395348837209;
8 42 0.936708860759494;
8 44 0.986301369863014;
8 45 0.976303317535545;
8 46 0.995238095238095;
8 47 0.995495495495496;
8 50 0.982142857142857;
8 51 1;
8 54 1;
8 57 1;
9 10 0.858447488584475;
9 11 0.643835616438356;
9 29 0.807692307692308;
9 30 0.815668202764977;
9 31 0.849624060150376;
9 32 0.714285714285714;
9 36 0.815315315315315;
9 37 0.808888888888889;
9 38 0.809090909090909;
9 39 0.909090909090909;
9 40 0.823809523809524;
9 41 0.817757009345794;
9 42 0.974358974358974;
9 44 0.839449541284404;
9 45 0.785714285714286;
9 46 0.808612440191388;
9 47 0.805429864253394;
9 50 0.75;
9 51 0.788819875776398;
9 54 0.632183908045977;
9 57 0.738461538461539;
9 58 0.901408450704225;
10 11 0.733644859813084;
10 29 0.753694581280788;
10 30 0.76056338028169;
10 31 0.829457364341085;
10 32 0.701834862385321;
10 36 0.75;
10 37 0.753424657534247;
10 38 0.742990654205608;
10 39 0.894117647058824;
10 40 0.762135922330097;
10 41 0.754807692307692;
10 42 0.905405405405405;
10 44 0.794392523364486;
10 45 0.768115942028985;
10 46 0.748768472906404;
10 47 0.748837209302326;
10 50 0.718562874251497;
10 51 0.710691823899371;
10 57 0.640625;
10 58 0.871428571428571;
11 29 0.783251231527094;
11 30 0.797169811320755;
11 31 0.702290076335878;
11 32 0.697247706422018;
11 36 0.796296296296296;
11 37 0.799086757990868;
11 38 0.789719626168224;
11 39 0.780346820809249;
11 40 0.79126213592233;
11 41 0.774038461538462;
11 44 0.792452830188679;
11 45 0.796116504854369;
11 46 0.793103448275862;
11 47 0.795348837209302;
11 50 0.803680981595092;
11 51 0.909677419354839;
11 54 0.855421686746988;
11 57 0.887096774193548;
12 13 0.792553191489362;
12 14 0.873417721518987;
12 15 0.730769230769231;
12 16 0.595505617977528;
12 17 0.879120879120879;
12 18 0.831168831168831;
12 19 0.803108808290155;
12 20 0.833333333333333;
12 21 0.945454545454545;
12 22 0.819672131147541;
12 23 0.734104046242775;
12 24 0.568965517241379;
12 25 0.784210526315789;
12 26 0.763440860215054;
12 27 0.767045454545455;
12 28 0.825581395348837;
12 33 0.76551724137931;
12 34 0.819277108433735;
12 35 0.786259541984733;
12 43 0.823529411764706;
12 48 0.829457364341085;
12 49 0.834645669291339;
12 52 0.791666666666667;
12 53 0.663716814159292;
12 55 0.845454545454545;
12 56 0.962264150943396;
13 14 0.7125;
13 15 0.905027932960894;
13 16 0.730964467005076;
13 17 0.854054054054054;
13 18 0.90625;
13 19 0.845794392523365;
13 20 0.821621621621622;
13 21 0.981481481481482;
13 22 0.917948717948718;
13 23 0.856410256410256;
13 24 0.88135593220339;
13 25 0.90952380952381;
13 26 0.879227053140097;
13 27 0.933333333333333;
13 28 0.910994764397906;
13 33 0.868055555555556;
13 34 0.877005347593583;
13 35 0.875;
13 43 0.806763285024155;
13 48 0.896;
13 49 0.972602739726027;
13 52 0.893805309734513;
13 53 0.691729323308271;
13 55 0.891891891891892;
13 56 1;
14 15 0.696969696969697;
14 17 0.923076923076923;
14 18 0.895833333333333;
14 19 0.8125;
14 20 0.89873417721519;
14 21 1;
14 22 0.775;
14 23 0.613333333333333;
14 25 0.675324675324675;
14 26 0.648648648648649;
14 27 0.671052631578947;
14 28 0.8;
14 33 0.608108108108108;
14 34 0.758620689655172;
14 35 0.644736842105263;
14 43 0.846153846153846;
14 48 0.75;
14 49 0.614035087719298;
14 50 0.595238095238095;
14 51 0.625;
15 16 0.683908045977011;
15 17 0.8;
15 18 0.866666666666667;
15 19 0.768817204301075;
15 20 0.805031446540881;
15 21 1;
15 22 0.896969696969697;
15 23 0.86144578313253;
15 24 0.8;
15 25 0.917127071823204;
15 26 0.880681818181818;
15 27 0.913294797687861;
15 28 0.921212121212121;
15 33 0.84251968503937;
15 34 0.84375;
15 35 0.848;
15 43 0.75;
15 48 0.90625;
15 49 0.932773109243697;
15 52 0.899082568807339;
15 53 0.632478632478632;
15 55 0.925531914893617;
15 56 1;
16 17 0.644970414201183;
16 18 0.741935483870968;
16 19 0.651960784313726;
16 20 0.592178770949721;
16 21 0.807692307692308;
16 22 0.673913043478261;
16 23 0.655737704918033;
16 24 0.694915254237288;
16 25 0.673366834170854;
16 26 0.65989847715736;
16 27 0.706521739130435;
16 28 0.666666666666667;
16 33 0.683098591549296;
16 34 0.657303370786517;
16 35 0.648275862068965;
16 43 0.612244897959184;
16 48 0.691056910569106;
16 49 0.721428571428571;
16 52 0.691588785046729;
16 53 0.565573770491803;
16 55 0.707070707070707;
16 56 0.666666666666667;
17 18 0.88;
17 19 0.844086021505376;
17 20 0.883333333333333;
17 21 0.962264150943396;
17 22 0.88268156424581;
17 23 0.773809523809524;
17 24 0.603448275862069;
17 25 0.808743169398907;
17 26 0.8;
17 27 0.810650887573965;
17 28 0.854545454545454;
17 33 0.77536231884058;
17 34 0.876543209876543;
17 35 0.778625954198473;
17 43 0.884615384615385;
17 48 0.882352941176471;
17 49 0.826446280991736;
17 52 0.847058823529412;
17 53 0.657407407407407;
17 55 0.876190476190476;
17 56 0.979166666666667;
18 19 0.843373493975904;
18 20 0.867088607594937;
18 21 0.944444444444444;
18 22 0.909677419354839;
18 23 0.871621621621622;
18 24 0.925925925925926;
18 25 0.871951219512195;
18 26 0.858895705521472;
18 27 0.898648648648649;
18 28 0.871621621621622;
18 33 0.873949579831933;
18 34 0.870503597122302;
18 35 0.825688073394495;
18 43 0.84472049689441;
18 48 0.853658536585366;
18 49 0.898989898989899;
18 52 0.792079207920792;
18 53 0.641025641025641;
18 55 0.831775700934579;
18 56 0.938775510204082;
19 20 0.842105263157895;
19 21 0.982456140350877;
19 22 0.869346733668342;
19 23 0.736318407960199;
19 24 0.677966101694915;
19 25 0.791666666666667;
19 26 0.788732394366197;
19 27 0.805;
19 28 0.83756345177665;
19 33 0.771812080536913;
19 34 0.881443298969072;
19 35 0.797385620915033;
19 43 0.773584905660377;
19 48 0.823076923076923;
19 49 0.856209150326797;
19 52 0.805084745762712;
19 53 0.719424460431655;
19 55 0.852173913043478;
19 56 0.945454545454545;
20 21 0.982456140350877;
20 22 0.846994535519126;
20 23 0.777777777777778;
20 24 0.568965517241379;
20 25 0.818181818181818;
20 26 0.797814207650273;
20 27 0.801169590643275;
20 28 0.838150289017341;
20 33 0.755102040816326;
20 34 0.871165644171779;
20 35 0.761194029850746;
20 43 0.826086956521739;
20 48 0.846774193548387;
20 49 0.819672131147541;
20 52 0.861702127659574;
20 53 0.693693693693694;
20 55 0.898148148148148;
20 56 0.942307692307692;
21 22 0.981132075471698;
21 23 0.888888888888889;
21 24 0.818181818181818;
21 25 0.896551724137931;
21 26 0.898305084745763;
21 27 0.954545454545455;
21 28 0.91304347826087;
21 33 0.816326530612245;
21 34 0.982758620689655;
21 35 0.88;
21 42 0.636363636363636;
21 43 0.903846153846154;
21 48 0.934782608695652;
21 49 0.982758620689655;
21 52 0.96551724137931;
21 53 0.888888888888889;
21 55 0.978260869565217;
21 56 0.935483870967742;
22 23 0.879120879120879;
22 24 0.76271186440678;
22 25 0.898989898989899;
22 26 0.865284974093264;
22 27 0.901098901098901;
22 28 0.916666666666667;
22 33 0.825174825174825;
22 34 0.908045977011494;
22 35 0.857142857142857;
22 43 0.83419689119171;
22 48 0.951612903225806;
22 49 0.902985074626866;
22 52 0.887755102040816;
22 53 0.677966101694915;
22 55 0.934579439252336;
22 56 0.925925925925926;
23 24 0.872727272727273;
23 25 0.897959183673469;
23 26 0.875;
23 27 0.866666666666667;
23 28 0.859550561797753;
23 33 0.853846153846154;
23 34 0.78735632183908;
23 35 0.828358208955224;
23 43 0.751295336787565;
23 48 0.91304347826087;
23 49 0.859259259259259;
23 52 0.786407766990291;
23 53 0.642276422764228;
23 55 0.878787878787879;
23 56 0.924528301886792;
24 25 0.857142857142857;
24 26 0.872727272727273;
24 27 0.875;
24 28 0.75;
24 33 0.735849056603774;
24 34 0.677966101694915;
24 35 0.818181818181818;
24 43 0.649122807017544;
24 48 0.896551724137931;
24 49 0.879310344827586;
25 26 0.862559241706161;
25 27 0.898989898989899;
25 28 0.893939393939394;
25 33 0.885135135135135;
25 34 0.836842105263158;
25 35 0.860927152317881;
25 43 0.754807692307692;
25 48 0.915384615384615;
25 49 0.906666666666667;
25 52 0.871794871794872;
25 53 0.652173913043478;
25 55 0.921739130434783;
25 56 0.982758620689655;
26 27 0.861538461538462;
26 28 0.858638743455497;
26 33 0.86013986013986;
26 34 0.814814814814815;
26 35 0.859060402684564;
26 43 0.737864077669903;
26 48 0.908396946564885;
26 49 0.873333333333333;
26 52 0.854700854700855;
26 53 0.681159420289855;
26 55 0.894736842105263;
26 56 0.912280701754386;
27 28 0.904494382022472;
27 33 0.866666666666667;
27 34 0.852272727272727;
27 35 0.888059701492537;
27 43 0.785714285714286;
27 48 0.867256637168142;
27 49 0.926470588235294;
27 52 0.888888888888889;
27 53 0.637096774193548;
27 55 0.89;
27 56 0.976190476190476;
28 33 0.849624060150376;
28 34 0.894736842105263;
28 35 0.861313868613139;
28 43 0.794736842105263;
28 48 0.910714285714286;
28 49 0.893129770992366;
28 52 0.946902654867257;
28 53 0.66412213740458;
28 55 0.918181818181818;
28 56 0.944444444444444;
29 30 0.98;
29 31 0.88135593220339;
29 32 0.830917874396135;
29 36 0.985436893203884;
29 37 0.985576923076923;
29 38 0.980392156862745;
29 39 0.96875;
29 40 0.969072164948454;
29 41 0.969543147208122;
29 42 0.935064935064935;
29 44 0.975124378109453;
29 45 0.963917525773196;
29 46 0.985294117647059;
29 47 0.985294117647059;
29 50 0.969879518072289;
29 51 0.986111111111111;
29 54 1;
29 57 0.982608695652174;
30 31 0.884615384615385;
30 32 0.851851851851852;
30 36 0.990654205607477;
30 37 0.990783410138249;
30 38 0.990566037735849;
30 39 0.988235294117647;
30 40 0.960975609756098;
30 41 0.975728155339806;
30 42 0.922077922077922;
30 44 0.981220657276995;
30 45 0.970443349753695;
30 46 0.990049751243781;
30 47 0.990610328638498;
30 50 0.975155279503106;
30 51 1;
30 54 1;
30 57 1;
31 32 0.729323308270677;
31 36 0.880597014925373;
31 37 0.879699248120301;
31 38 0.885496183206107;
31 39 0.879310344827586;
31 40 0.883720930232558;
31 41 0.88;
31 42 0.788732394366197;
31 44 0.886363636363636;
31 45 0.852459016393443;
31 46 0.89344262295082;
31 47 0.876923076923077;
31 50 0.91566265060241;
31 51 0.944444444444444;
31 54 0.914893617021277;
31 57 0.944444444444444;
31 58 0.906976744186046;
32 36 0.850678733031674;
32 37 0.852678571428571;
32 38 0.844748858447489;
32 39 0.875;
32 40 0.842857142857143;
32 41 0.84037558685446;
32 42 0.653846153846154;
32 44 0.875576036866359;
32 45 0.923444976076555;
32 46 0.846153846153846;
32 47 0.859090909090909;
32 50 0.940119760479042;
32 51 0.94375;
32 54 0.895348837209302;
32 57 0.945736434108527;
33 34 0.795275590551181;
33 35 0.786885245901639;
33 43 0.776223776223776;
33 48 0.850574712643678;
33 49 0.884955752212389;
33 52 0.933333333333333;
33 53 0.653333333333333;
33 55 0.891891891891892;
33 56 0.928571428571429;
34 35 0.811023622047244;
34 43 0.795698924731183;
34 48 0.92;
34 49 0.869281045751634;
34 52 0.893805309734513;
34 53 0.694029850746269;
34 55 0.918181818181818;
34 56 0.980769230769231;
35 43 0.710344827586207;
35 48 0.891891891891892;
35 49 0.874015748031496;
35 52 0.95;
35 53 0.782051282051282;
35 55 0.918032786885246;
35 56 0.952380952380952;
36 37 0.995495495495496;
36 38 0.990783410138249;
36 39 0.982758620689655;
36 40 0.961352657004831;
36 41 0.981042654028436;
36 42 0.936708860759494;
36 44 0.986046511627907;
36 45 0.975845410628019;
36 46 0.995145631067961;
36 47 0.995412844036697;
36 50 0.981818181818182;
36 51 1;
36 54 1;
36 57 1;
37 38 0.990909090909091;
37 39 0.982954545454545;
37 40 0.961904761904762;
37 41 0.981308411214953;
37 42 0.935897435897436;
37 44 0.986238532110092;
37 45 0.976190476190476;
37 46 0.995215311004785;
37 47 0.995475113122172;
37 50 0.982142857142857;
37 51 1;
37 54 1;
37 57 1;
38 39 0.976608187134503;
38 40 0.960975609756098;
38 41 0.976076555023923;
38 42 0.918918918918919;
38 44 0.981220657276995;
38 45 0.970731707317073;
38 46 0.990243902439024;
38 47 0.990740740740741;
38 50 0.975460122699387;
38 51 1;
38 54 1;
38 57 1;
39 40 0.952941176470588;
39 41 0.982954545454545;
39 42 0.906666666666667;
39 44 0.994252873563218;
39 45 0.957055214723926;
39 46 0.98159509202454;
39 47 0.982658959537572;
39 50 0.976190476190476;
39 51 1;
39 54 1;
39 57 1;
39 58 0.926829268292683;
40 41 0.945544554455445;
40 42 0.92;
40 44 0.950980392156863;
40 45 0.939393939393939;
40 46 0.959183673469388;
40 47 0.961352657004831;
40 50 0.935897435897436;
40 51 0.959731543624161;
40 54 0.974025974025974;
40 57 0.949579831932773;
40 58 0.579710144927536;
41 42 0.936708860759494;
41 44 0.985507246376812;
41 45 0.959798994974874;
41 46 0.98;
41 47 0.980952380952381;
41 50 0.961538461538462;
41 51 0.98;
41 54 0.96;
41 57 0.976377952755906;
42 44 0.933333333333333;
42 45 0.925373134328358;
42 46 0.948717948717949;
42 47 0.935897435897436;
42 50 0.825;
42 51 1;
43 48 0.793650793650794;
43 49 0.76551724137931;
43 52 0.724137931034483;
43 53 0.616541353383459;
43 55 0.8;
43 56 0.905660377358491;
44 45 0.965686274509804;
44 46 0.985148514851485;
44 47 0.985981308411215;
44 50 0.98159509202454;
44 51 0.987261146496815;
44 54 0.975903614457831;
44 57 0.984126984126984;
44 58 0.632352941176471;
45 46 0.974358974358974;
45 47 0.975845410628019;
45 50 0.957575757575758;
45 51 0.974522292993631;
45 54 0.976470588235294;
45 57 0.968253968253968;
46 47 0.995145631067961;
46 50 0.981707317073171;
46 51 1;
46 54 1;
46 57 1;
47 50 0.981707317073171;
47 51 1;
47 54 1;
47 57 1;
48 49 0.954022988505747;
48 52 0.857142857142857;
48 53 0.643564356435644;
48 55 0.89;
48 56 0.901960784313726;
49 52 0.904109589041096;
49 53 0.851063829787234;
49 55 0.942857142857143;
49 56 0.981132075471698;
50 51 1;
50 54 1;
50 57 1;
51 54 1;
51 57 1;
52 53 0.613445378151261;
52 55 0.925531914893617;
52 56 0.970588235294118;
53 55 0.660869565217391;
53 56 0.890909090909091;
54 57 1;
55 56 0.945454545454545]
